Emp_Id,Name,Department,Email,Company_Name,Salary,Join_Month,Country,Unit_Price,UnitSold,Total_Sale,Grade
22,Rohit,Support,Rohit.InnovateLtd@gmail.com,InnovateLtd,35467,Apr,Afghanistan,567,359,203553,C
23,Ashish,Solar,Ashish.Google@gmail.com,Google,27619,Nov,Bhutan,693,343,237699,D
24,Ramesh,Engineering,Ramesh.Tesla@gmail.com,Tesla,29706,Nov,Nepal,623,357,222411,D
25,Ramesh,Support,Ramesh.InnovateLtd@gmail.com,InnovateLtd,37250,Nov,Pakistan,693,289,200277,C
26,Suresh,Engineering,Suresh.GlobalSolutions@gmail.com,GlobalSolutions,41437,Apr,India,602,415,249830,B
27,Ankit,Marketing,Ankit.InnovateLtd@gmail.com,InnovateLtd,41939,Mar,Afghanistan,607,335,203345,B
28,Akshay,Finance,Akshay.MarketMakers@gmail.com,MarketMakers,40523,May,Bhutan,546,266,145236,B
29,Sumit,Marketing,Sumit.InnovateLtd@gmail.com,InnovateLtd,29894,Feb,India,649,250,162250,D
30,Anmol,Finance,Anmol.FinServe@gmail.com,FinServe,33425,Dec,Myanmar,623,267,166341,C
31,Suresh,Engineering,Suresh.Microsoft@gmail.com,Microsoft,34954,Jan,Afghanistan,597,292,174324,C
32,Vikram,Marketing,Vikram.Xaomi@gmail.com,Xaomi,40624,Mar,Bhutan,651,362,235662,B
33,Vikram,Sales,Vikram.Tesla@gmail.com,Tesla,42596,Dec,SriLanka,521,315,164115,B
34,Ramesh,Support,Ramesh.InnovateLtd@gmail.com,InnovateLtd,32224,May,Bhutan,629,317,199393,C
35,Rohit,Finance,Rohit.TechCorp@gmail.com,TechCorp,39591,Apr,Bangladesh,608,266,161728,C
36,Ankit,Solar,Ankit.Google@gmail.com,Google,29025,Apr,Afghanistan,605,405,245025,D
37,Suresh,Sales,Suresh.Microsoft@gmail.com,Microsoft,39462,Feb,India,540,406,219240,C
38,Sumit,Support,Sumit.GlobalSolutions@gmail.com,GlobalSolutions,31892,Dec,China,568,320,181760,C
39,Himanshu,Development,Himanshu.Apple@gmail.com,Apple,42421,Apr,Pakistan,642,403,258726,B
40,Rohit,Engineering,Rohit.Xaomi@gmail.com,Xaomi,41993,Nov,SriLanka,608,278,169024,B
41,Anmol,Marketing,Anmol.Google@gmail.com,Google,33087,Jan,Iran,662,334,221108,C
42,Akshay,Sales,Akshay.Xaomi@gmail.com,Xaomi,26091,Feb,India,688,276,189888,D
43,Amit,HR,Amit.Apple@gmail.com,Apple,43653,Apr,China,694,265,183910,B
44,Ashish,HR,Ashish.Google@gmail.com,Google,34044,Nov,SriLanka,627,401,251427,C
45,Sumit,Finance,Sumit.Apple@gmail.com,Apple,39186,Dec,Afghanistan,552,371,204792,C
46,Sumit,Marketing,Sumit.InnovateLtd@gmail.com,InnovateLtd,34989,Dec,Bhutan,597,405,241785,C
47,Ramesh,Finance,Ramesh.MarketMakers@gmail.com,MarketMakers,29212,Feb,China,677,343,232211,D
48,Ramesh,Finance,Ramesh.Microsoft@gmail.com,Microsoft,25519,Feb,India,532,277,147364,D
49,Sumit,Engineering,Sumit.GlobalSolutions@gmail.com,GlobalSolutions,39182,May,Bhutan,527,359,189193,C
50,Akshay,Marketing,Akshay.Xaomi@gmail.com,Xaomi,41919,Nov,SriLanka,526,369,194094,B
51,Vikram,HR,Vikram.InnovateLtd@gmail.com,InnovateLtd,43381,Feb,Myanmar,619,322,199318,B
52,Himanshu,Marketing,Himanshu.MarketMakers@gmail.com,MarketMakers,42911,May,China,614,313,192182,B
53,Hemant,Finance,Hemant.TechCorp@gmail.com,TechCorp,44471,Mar,Iran,646,322,208012,B
54,Anmol,Support,Anmol.Apple@gmail.com,Apple,31042,Dec,Iran,506,256,129536,C
55,Sanjay,HR,Sanjay.Apple@gmail.com,Apple,33854,Mar,China,551,332,182932,C
56,Rohit,Development,Rohit.TechCorp@gmail.com,TechCorp,33658,Dec,China,672,324,217728,C
57,Sumit,Solar,Sumit.InnovateLtd@gmail.com,InnovateLtd,44314,Apr,Bangladesh,694,288,199872,B
58,Suresh,Marketing,Suresh.MarketMakers@gmail.com,MarketMakers,37116,Dec,Bhutan,553,309,170877,C
59,Anshika,Finance,Anshika.Microsoft@gmail.com,Microsoft,32514,Mar,Iran,661,425,280925,C
60,Suresh,Sales,Suresh.Xaomi@gmail.com,Xaomi,32700,Mar,India,635,320,203200,C
61,Anshika,Sales,Anshika.Xaomi@gmail.com,Xaomi,42664,Dec,Afghanistan,603,312,188136,B
62,Sanjay,Finance,Sanjay.Google@gmail.com,Google,36141,Apr,Pakistan,569,409,232721,C
63,Hemant,Marketing,Hemant.Microsoft@gmail.com,Microsoft,25385,Apr,SriLanka,502,292,146584,D
64,Suresh,Finance,Suresh.MarketMakers@gmail.com,MarketMakers,27074,Feb,Afghanistan,507,322,163254,D
65,Ashish,Support,Ashish.MarketMakers@gmail.com,MarketMakers,39772,Mar,Bangladesh,686,330,226380,C
66,Anshika,Development,Anshika.Tesla@gmail.com,Tesla,28130,Mar,Pakistan,668,290,193720,D
67,Akshay,HR,Akshay.Microsoft@gmail.com,Microsoft,26930,Mar,China,543,353,191679,D
68,Himanshu,Finance,Himanshu.MarketMakers@gmail.com,MarketMakers,34265,Dec,Iran,509,442,224978,C
69,Himanshu,Marketing,Himanshu.Apple@gmail.com,Apple,36954,May,India,566,350,198100,C
70,Anmol,Support,Anmol.FinServe@gmail.com,FinServe,42629,May,India,653,429,280137,B
71,Rohit,Sales,Rohit.FinServe@gmail.com,FinServe,42032,Nov,China,700,403,282100,B
72,Ramesh,Sales,Ramesh.TechCorp@gmail.com,TechCorp,32730,Apr,Pakistan,699,345,241155,C
73,Akshay,Development,Akshay.Tesla@gmail.com,Tesla,34390,Mar,Iran,530,277,146810,C
74,Ramesh,Finance,Ramesh.Tesla@gmail.com,Tesla,43158,Nov,Nepal,592,448,265216,B
75,Anshika,Development,Anshika.Xaomi@gmail.com,Xaomi,41324,Mar,Bangladesh,579,359,207861,B
76,Himanshu,Sales,Himanshu.InnovateLtd@gmail.com,InnovateLtd,35292,May,Bangladesh,648,431,279288,C
77,Hemant,Solar,Hemant.FinServe@gmail.com,FinServe,32580,Jan,SriLanka,525,282,148050,C
78,Ashish,HR,Ashish.GlobalSolutions@gmail.com,GlobalSolutions,34092,Mar,SriLanka,581,272,158032,C
79,Himanshu,Sales,Himanshu.TechCorp@gmail.com,TechCorp,39713,Jan,SriLanka,634,306,194004,C
80,Himanshu,HR,Himanshu.TechCorp@gmail.com,TechCorp,32444,Jan,SriLanka,513,446,228798,C
81,Anmol,HR,Anmol.GlobalSolutions@gmail.com,GlobalSolutions,40056,Mar,India,612,288,176256,B
82,Akshay,Engineering,Akshay.FinServe@gmail.com,FinServe,41279,May,Iran,642,326,209292,B
83,Anmol,Development,Anmol.Tesla@gmail.com,Tesla,36180,Feb,Pakistan,552,391,215832,C
84,Suresh,Solar,Suresh.FinServe@gmail.com,FinServe,29579,Jan,Iran,669,306,204714,D
85,Vikram,Solar,Vikram.MarketMakers@gmail.com,MarketMakers,30155,May,Pakistan,683,368,251344,C
86,Ashish,Engineering,Ashish.Google@gmail.com,Google,25952,Apr,China,659,443,291937,D
87,Akshay,Solar,Akshay.Tesla@gmail.com,Tesla,38744,Mar,India,516,252,130032,C
88,Anmol,HR,Anmol.TechCorp@gmail.com,TechCorp,41765,Mar,Nepal,619,417,258123,B
89,Himanshu,Development,Himanshu.Google@gmail.com,Google,40332,Mar,Nepal,625,366,228750,B
90,Anshika,Finance,Anshika.GlobalSolutions@gmail.com,GlobalSolutions,40315,Jan,Pakistan,561,362,203082,B
91,Ramesh,Solar,Ramesh.Apple@gmail.com,Apple,39242,Nov,Afghanistan,523,438,229074,C
92,Ramesh,Development,Ramesh.Apple@gmail.com,Apple,25480,Apr,SriLanka,503,393,197679,D
93,Hemant,Solar,Hemant.TechCorp@gmail.com,TechCorp,43230,Mar,Myanmar,595,331,196945,B
94,Suresh,HR,Suresh.Xaomi@gmail.com,Xaomi,30273,Dec,Bhutan,502,250,125500,C
95,Suresh,Sales,Suresh.FinServe@gmail.com,FinServe,27434,Dec,Iran,501,321,160821,D
96,Anshika,HR,Anshika.Xaomi@gmail.com,Xaomi,42655,Nov,Pakistan,644,394,253736,B
97,Sumit,Finance,Sumit.InnovateLtd@gmail.com,InnovateLtd,31708,Nov,Bangladesh,545,385,209825,C
98,Akshay,Support,Akshay.MarketMakers@gmail.com,MarketMakers,25702,Apr,Afghanistan,540,431,232740,D
99,Anshika,Development,Anshika.MarketMakers@gmail.com,MarketMakers,38913,Feb,China,512,407,208384,C
100,Ankit,Sales,Ankit.GlobalSolutions@gmail.com,GlobalSolutions,29663,Feb,Pakistan,528,419,221232,D
101,Akshay,HR,Akshay.MarketMakers@gmail.com,MarketMakers,34234,Feb,Bangladesh,600,372,223200,C
102,Anshika,Support,Anshika.MarketMakers@gmail.com,MarketMakers,40913,Feb,Bangladesh,614,389,238846,B
103,Hemant,Engineering,Hemant.Tesla@gmail.com,Tesla,44287,Mar,Bhutan,508,273,138684,B
104,Himanshu,Solar,Himanshu.MarketMakers@gmail.com,MarketMakers,29706,Feb,Iran,526,364,191464,D
105,Rohit,Sales,Rohit.Google@gmail.com,Google,25328,Apr,SriLanka,504,445,224280,D
106,Ramesh,HR,Ramesh.GlobalSolutions@gmail.com,GlobalSolutions,32287,Feb,India,581,333,193473,C
107,Sumit,Development,Sumit.Apple@gmail.com,Apple,27722,Dec,Nepal,502,436,218872,D
108,Rohit,HR,Rohit.Tesla@gmail.com,Tesla,44598,May,India,510,329,167790,B
109,Amit,Support,Amit.Apple@gmail.com,Apple,26759,Feb,SriLanka,612,361,220932,D
110,Ankit,Solar,Ankit.Xaomi@gmail.com,Xaomi,40746,Dec,Bangladesh,655,317,207635,B
111,Amit,Finance,Amit.FinServe@gmail.com,FinServe,39173,Jan,Pakistan,668,370,247160,C
112,Himanshu,Development,Himanshu.Tesla@gmail.com,Tesla,40409,Dec,Iran,578,290,167620,B
113,Sumit,Engineering,Sumit.MarketMakers@gmail.com,MarketMakers,31214,Dec,Nepal,575,276,158700,C
114,Amit,HR,Amit.GlobalSolutions@gmail.com,GlobalSolutions,30251,Dec,China,697,352,245344,C
115,Suresh,Sales,Suresh.GlobalSolutions@gmail.com,GlobalSolutions,38657,Mar,Afghanistan,552,443,244536,C
116,Suresh,Support,Suresh.FinServe@gmail.com,FinServe,28825,Dec,Pakistan,618,262,161916,D
117,Anshika,HR,Anshika.Xaomi@gmail.com,Xaomi,44357,Apr,Bangladesh,618,283,174894,B
118,Akshay,Marketing,Akshay.GlobalSolutions@gmail.com,GlobalSolutions,38532,Dec,Iran,595,274,163030,C
119,Anmol,Solar,Anmol.GlobalSolutions@gmail.com,GlobalSolutions,37757,Jan,China,643,313,201259,C
120,Amit,HR,Amit.MarketMakers@gmail.com,MarketMakers,26940,Mar,Bhutan,660,356,234960,D
121,Sanjay,Marketing,Sanjay.Xaomi@gmail.com,Xaomi,34781,Nov,Bangladesh,559,302,168818,C
122,Sachin,Support,Sachin.Microsoft@gmail.com,Microsoft,44833,Apr,Bhutan,678,427,289506,B
123,Sumit,Solar,Sumit.FinServe@gmail.com,FinServe,43482,Jan,SriLanka,521,295,153695,B
124,Sumit,Sales,Sumit.FinServe@gmail.com,FinServe,41136,Feb,SriLanka,629,252,158508,B
125,Sachin,HR,Sachin.Microsoft@gmail.com,Microsoft,35746,Dec,Myanmar,683,333,227439,C
126,Suresh,Solar,Suresh.Xaomi@gmail.com,Xaomi,36776,Dec,India,553,295,163135,C
127,Ankit,Marketing,Ankit.Apple@gmail.com,Apple,31171,Feb,India,680,362,246160,C
128,Anmol,Support,Anmol.Microsoft@gmail.com,Microsoft,32881,Feb,Bangladesh,601,329,197729,C
129,Vikram,Marketing,Vikram.TechCorp@gmail.com,TechCorp,37159,Nov,SriLanka,615,281,172815,C
130,Anshika,Marketing,Anshika.GlobalSolutions@gmail.com,GlobalSolutions,37971,Nov,Bangladesh,678,413,280014,C
131,Vikram,Marketing,Vikram.Microsoft@gmail.com,Microsoft,26763,Dec,Iran,507,399,202293,D
132,Anmol,Sales,Anmol.Tesla@gmail.com,Tesla,33085,May,Pakistan,663,251,166413,C
133,Vikram,Development,Vikram.Xaomi@gmail.com,Xaomi,27850,Dec,China,653,348,227244,D
134,Rohit,Finance,Rohit.Microsoft@gmail.com,Microsoft,37744,Feb,India,650,336,218400,C
135,Akshay,HR,Akshay.Tesla@gmail.com,Tesla,42394,Jan,Bhutan,664,375,249000,B
136,Anshika,Sales,Anshika.MarketMakers@gmail.com,MarketMakers,34413,Jan,China,622,359,223298,C
137,Anmol,HR,Anmol.Microsoft@gmail.com,Microsoft,33584,May,Nepal,633,371,234843,C
138,Ankit,Marketing,Ankit.Google@gmail.com,Google,35649,Mar,Afghanistan,592,413,244496,C
139,Ramesh,Sales,Ramesh.GlobalSolutions@gmail.com,GlobalSolutions,36236,Jan,Bhutan,560,260,145600,C
140,Amit,Finance,Amit.FinServe@gmail.com,FinServe,36180,Mar,Pakistan,562,410,230420,C
141,Rohit,Support,Rohit.Tesla@gmail.com,Tesla,26177,Dec,India,502,307,154114,D
142,Sanjay,Marketing,Sanjay.Microsoft@gmail.com,Microsoft,27720,May,Iran,591,296,174936,D
143,Ankit,Finance,Ankit.FinServe@gmail.com,FinServe,34442,Dec,SriLanka,561,447,250767,C
144,Hemant,Sales,Hemant.InnovateLtd@gmail.com,InnovateLtd,39274,Mar,China,639,312,199368,C
145,Ankit,Marketing,Ankit.Microsoft@gmail.com,Microsoft,43161,Jan,Iran,586,375,219750,B
146,Akshay,Development,Akshay.GlobalSolutions@gmail.com,GlobalSolutions,41693,Nov,India,535,289,154615,B
147,Ashish,Solar,Ashish.Microsoft@gmail.com,Microsoft,30307,Jan,Iran,657,390,256230,C
148,Anshika,Support,Anshika.Apple@gmail.com,Apple,28822,Dec,Pakistan,654,422,275988,D
149,Ankit,Solar,Ankit.Tesla@gmail.com,Tesla,31058,May,China,625,311,194375,C
150,Anmol,Support,Anmol.TechCorp@gmail.com,TechCorp,30007,Jan,Bhutan,564,397,223908,C
151,Ramesh,Finance,Ramesh.InnovateLtd@gmail.com,InnovateLtd,35641,Apr,India,517,394,203698,C
152,Sumit,Sales,Sumit.InnovateLtd@gmail.com,InnovateLtd,44303,Mar,Pakistan,647,402,260094,B
153,Himanshu,Marketing,Himanshu.FinServe@gmail.com,FinServe,44802,Nov,India,573,363,207999,B
154,Ashish,Support,Ashish.Apple@gmail.com,Apple,38119,Jan,India,682,327,223014,C
155,Vikram,Sales,Vikram.GlobalSolutions@gmail.com,GlobalSolutions,34458,Feb,Nepal,554,328,181712,C
156,Akshay,HR,Akshay.Google@gmail.com,Google,32991,Dec,China,512,416,212992,C
157,Rohit,Development,Rohit.Tesla@gmail.com,Tesla,43809,Mar,Bhutan,545,322,175490,B
158,Sachin,Development,Sachin.TechCorp@gmail.com,TechCorp,39782,Feb,Bangladesh,590,350,206500,C
159,Ankit,Support,Ankit.TechCorp@gmail.com,TechCorp,29489,Jan,Pakistan,540,278,150120,D
160,Sanjay,Marketing,Sanjay.GlobalSolutions@gmail.com,GlobalSolutions,25496,Feb,Bhutan,583,395,230285,D
161,Hemant,Marketing,Hemant.GlobalSolutions@gmail.com,GlobalSolutions,35969,Nov,Bangladesh,566,418,236588,C
162,Sumit,Marketing,Sumit.Xaomi@gmail.com,Xaomi,35668,Jan,Afghanistan,537,351,188487,C
163,Hemant,Engineering,Hemant.Xaomi@gmail.com,Xaomi,38318,Jan,China,689,305,210145,C
164,Sachin,HR,Sachin.MarketMakers@gmail.com,MarketMakers,31972,May,Iran,602,347,208894,C
165,Sachin,Solar,Sachin.MarketMakers@gmail.com,MarketMakers,25767,Feb,Bangladesh,520,396,205920,D
166,Sachin,Finance,Sachin.FinServe@gmail.com,FinServe,43723,Nov,Bangladesh,601,397,238597,B
167,Ashish,Support,Ashish.GlobalSolutions@gmail.com,GlobalSolutions,44944,May,China,582,372,216504,B
168,Suresh,Development,Suresh.Microsoft@gmail.com,Microsoft,30792,Dec,Iran,700,422,295400,C
169,Amit,HR,Amit.InnovateLtd@gmail.com,InnovateLtd,38308,Dec,Afghanistan,596,437,260452,C
170,Sumit,Marketing,Sumit.MarketMakers@gmail.com,MarketMakers,34690,Feb,Pakistan,694,378,262332,C
171,Rohit,Support,Rohit.GlobalSolutions@gmail.com,GlobalSolutions,32883,Jan,India,510,251,128010,C
172,Vikram,Solar,Vikram.FinServe@gmail.com,FinServe,31005,Nov,Iran,536,361,193496,C
173,Akshay,HR,Akshay.FinServe@gmail.com,FinServe,32044,Dec,India,584,382,223088,C
174,Suresh,Sales,Suresh.GlobalSolutions@gmail.com,GlobalSolutions,42943,Apr,Nepal,656,326,213856,B
175,Sanjay,Sales,Sanjay.Tesla@gmail.com,Tesla,31858,Dec,Bhutan,661,333,220113,C
176,Sanjay,Development,Sanjay.Google@gmail.com,Google,39803,Dec,China,594,269,159786,C
177,Ashish,Support,Ashish.Tesla@gmail.com,Tesla,40652,Feb,India,536,268,143648,B
178,Suresh,Finance,Suresh.Tesla@gmail.com,Tesla,37152,Feb,Myanmar,502,300,150600,C
179,Hemant,Support,Hemant.Apple@gmail.com,Apple,43831,Mar,China,699,423,295677,B
180,Ashish,Finance,Ashish.MarketMakers@gmail.com,MarketMakers,35956,Apr,Myanmar,577,328,189256,C
181,Sachin,Finance,Sachin.TechCorp@gmail.com,TechCorp,39251,Nov,Nepal,618,417,257706,C
182,Rohit,Development,Rohit.GlobalSolutions@gmail.com,GlobalSolutions,40463,Nov,Myanmar,671,313,210023,B
183,Sanjay,Solar,Sanjay.InnovateLtd@gmail.com,InnovateLtd,40777,Nov,Myanmar,548,357,195636,B
184,Himanshu,Support,Himanshu.FinServe@gmail.com,FinServe,34630,May,SriLanka,694,391,271354,C
185,Suresh,Sales,Suresh.Apple@gmail.com,Apple,27105,Jan,China,635,364,231140,D
186,Ramesh,Sales,Ramesh.Xaomi@gmail.com,Xaomi,42561,Jan,SriLanka,619,428,264932,B
187,Himanshu,HR,Himanshu.GlobalSolutions@gmail.com,GlobalSolutions,39558,May,India,679,366,248514,C
188,Ankit,Support,Ankit.Xaomi@gmail.com,Xaomi,33912,May,Bhutan,556,320,177920,C
189,Ankit,Development,Ankit.Microsoft@gmail.com,Microsoft,37869,Dec,SriLanka,539,345,185955,C
190,Himanshu,Sales,Himanshu.MarketMakers@gmail.com,MarketMakers,41368,Dec,Pakistan,588,353,207564,B
191,Akshay,Engineering,Akshay.Xaomi@gmail.com,Xaomi,27295,Feb,Afghanistan,650,400,260000,D
192,Sanjay,Solar,Sanjay.MarketMakers@gmail.com,MarketMakers,34412,Feb,SriLanka,539,427,230153,C
193,Suresh,HR,Suresh.FinServe@gmail.com,FinServe,42469,May,Bangladesh,551,358,197258,B
194,Ashish,Marketing,Ashish.InnovateLtd@gmail.com,InnovateLtd,37929,Dec,China,636,261,165996,C
195,Ramesh,Finance,Ramesh.FinServe@gmail.com,FinServe,36142,Nov,SriLanka,560,259,145040,C
196,Rohit,Support,Rohit.Tesla@gmail.com,Tesla,37143,Dec,Bhutan,531,308,163548,C
197,Ankit,Finance,Ankit.TechCorp@gmail.com,TechCorp,38855,Nov,Myanmar,686,434,297724,C
198,Vikram,Marketing,Vikram.Microsoft@gmail.com,Microsoft,31251,Dec,Pakistan,596,409,243764,C
199,Sumit,Sales,Sumit.Google@gmail.com,Google,34171,Dec,Afghanistan,612,440,269280,C
200,Ashish,HR,Ashish.InnovateLtd@gmail.com,InnovateLtd,37847,May,Iran,700,319,223300,C
